分析報告開始,分析報告結束,廣告組合名稱,廣告組合投遞,曝光次數,觸及人數,貼文留言數,訊息對話開始次數,潛在顧客,每次成果成本,成果指標,"花費金額 (TWD)",廣告組合預算,廣告組合預算類型,點擊次數（全部）,CTR（連結點閱率）,頻率,開始,結束時間
2026-03-20,2026-06-02,"28-60 / 國圖館+6 / 房地產(0410微調",inactive,32509,10825,17,10,27,257.68,actions:leadgen.other,6442,使用行銷活動預算,0,1124,0.870528,3.003141,2026-03-20,進行中
2026-03-20,2026-06-02,"28-60 / 南區東區大里 / 年輕人興趣(3/27調整",inactive,40830,14998,16,7,27,305.36,actions:leadgen.other,7634,使用行銷活動預算,0,1045,0.653931,2.722363,2026-03-21,進行中
2026-03-20,2026-06-02,"28-60 / 南區東區大里 / 菁英教育父母",inactive,411,327,,,,,,142,使用行銷活動預算,0,6,0.729927,1.256881,2026-03-31,進行中
2026-03-20,2026-06-02,"28-60 / 南區東區大里 / 有錢換屋置產",inactive,1355,841,,,,,,231,使用行銷活動預算,0,25,0.738007,1.611177,2026-03-31,進行中
2026-03-20,2026-06-02,"28-60 / 南區東區大里 / 菁英教育父母",not_delivering,1784,1187,1,,,,,549,2375,總經費,33,0.560538,1.502949,2026-04-01,2026-04-19
2026-03-20,2026-06-02,"28-60 / 南區東區大里 / 有錢換屋置產",not_delivering,1523,1061,,,1,586,actions:leadgen.other,586,2375,總經費,38,0.722259,1.435438,2026-04-01,2026-04-19
2026-03-20,2026-06-02,"28-60 / 南區東區大里 / 科技電動車",inactive,1668,1185,,,,,,424,4000,總經費,32,0.59952,1.407595,2026-04-02,2026-04-19
2026-03-20,2026-06-02,"28-60 / 南區東區大里 / 金融投資興趣+運動",inactive,4190,2188,3,1,1,1078,actions:leadgen.other,1078,3500,總經費,92,0.453461,1.914991,2026-04-04,2026-04-19
2026-03-20,2026-06-02,"28-60 / 南區東區大里 / 通勤高階主管",inactive,5141,3051,2,3,3,1260,actions:leadgen.other,1260,4000,總經費,102,0.52519,1.685021,2026-04-08,2026-04-19
2026-03-20,2026-06-02,"28-60 / 南區東區大里 /傳產二代",inactive,2784,1923,1,,1,821,actions:leadgen.other,821,4000,總經費,71,0.682471,1.447738,2026-04-08,2026-04-19
2026-03-20,2026-06-02,"30-65 / 南區東區大里 / 政治置產科技",inactive,3593,2412,3,1,2,426.5,actions:leadgen.other,853,3200,總經費,93,0.890621,1.489635,2026-04-11,2026-04-19
2026-03-20,2026-06-02,"28-55 / 南屯西區東區 / 親子運動(0514調整區域",inactive,4078,2641,1,,2,445.5,actions:leadgen.other,891,使用行銷活動預算,0,71,0.80922,1.544112,2026-04-11,進行中
2026-03-20,2026-06-02,"28-60 / 國圖館+6 / 高知識文學",inactive,5960,3326,,,3,407,actions:leadgen.other,1221,使用行銷活動預算,0,115,0.855705,1.791942,2026-04-11,進行中
2026-03-20,2026-06-02,"28-60 / 南區東區大里 / 五金傳產二代新婚",inactive,1684,1196,2,1,,,,538,2000,總經費,49,0.950119,1.408027,2026-04-13,2026-04-19
2026-03-20,2026-06-02,"28-60 / 國圖館+6 / 高知識文學",not_delivering,887,719,,,,,,465,1200,總經費,13,0.563698,1.233658,2026-04-16,2026-04-19
